latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-21.54957,168.04468,353.3,0.4,0.44,2020-01-05,0200,N,nominal,1.0NRT,300.2,9.6,D
-21.67183,166.19424,341.7,0.51,0.5,2020-01-05,0200,N,nominal,1.0NRT,300.7,4.5,D
-21.62417,166.21512,342.1,0.51,0.49,2020-01-05,0200,N,nominal,1.0NRT,302.2,16.4,D
-21.62472,166.21022,338.8,0.51,0.49,2020-01-05,0200,N,nominal,1.0NRT,303.1,18.3,D
-21.4479,165.84232,341.6,0.54,0.51,2020-01-05,0200,N,nominal,1.0NRT,302.3,4.4,D
-21.01427,164.68723,341.5,0.63,0.54,2020-01-05,0200,N,nominal,1.0NRT,301.5,13.4,D
-21.01488,164.68121,339.7,0.63,0.54,2020-01-05,0200,N,nominal,1.0NRT,300.9,13.4,D
-20.79922,164.61908,347,0.63,0.54,2020-01-05,0200,N,nominal,1.0NRT,301.1,15.2,D
-20.79983,164.61313,345.1,0.63,0.54,2020-01-05,0200,N,nominal,1.0NRT,301,12.3,D
-18.20397,178.17647,340.3,0.4,0.44,2020-01-05,0200,N,nominal,1.0NRT,296.7,3.7,D
-19.52546,169.45033,333.4,0.47,0.4,2020-01-05,0200,N,low,1.0NRT,299.1,35,D
-19.52608,169.44569,334.6,0.47,0.4,2020-01-05,0200,N,low,1.0NRT,301,66,D
-16.58275,179.0237,342.8,0.48,0.48,2020-01-05,0200,N,nominal,1.0NRT,296.7,6.9,D
-17.72444,168.53336,332.2,0.5,0.41,2020-01-05,0200,N,low,1.0NRT,300.3,6.7,D
-17.6044,168.31018,331.1,0.52,0.41,2020-01-05,0200,N,nominal,1.0NRT,299,3.9,D
-15.29621,166.68005,337.3,0.4,0.44,2020-01-05,0206,N,nominal,1.0NRT,298.5,11.3,D
-15.29671,166.67612,350.7,0.4,0.44,2020-01-05,0206,N,nominal,1.0NRT,301.5,11.3,D
-15.29721,166.67209,342.9,0.4,0.44,2020-01-05,0206,N,nominal,1.0NRT,300.5,6.3,D
-15.29364,166.66734,332,0.4,0.44,2020-01-05,0206,N,nominal,1.0NRT,300.4,6.3,D
-46.19273,168.47502,326.1,0.33,0.55,2020-01-05,0336,N,nominal,1.0NRT,287.7,1.1,D
-41.73116,148.03491,340.4,0.54,0.42,2020-01-05,0336,N,nominal,1.0NRT,271.4,6,D
-41.72721,148.03438,331.1,0.54,0.42,2020-01-05,0336,N,nominal,1.0NRT,274.2,4.4,D
-41.72396,148.02681,332.2,0.54,0.42,2020-01-05,0336,N,nominal,1.0NRT,276.6,4.4,D
-41.72002,148.0262,337.6,0.54,0.42,2020-01-05,0336,N,nominal,1.0NRT,278,7.4,D
-41.71216,148.02484,330.4,0.54,0.42,2020-01-05,0336,N,nominal,1.0NRT,277.9,8.7,D
-41.71281,148.01816,355.3,0.54,0.42,2020-01-05,0336,N,nominal,1.0NRT,285.8,82.8,D
-41.71412,148.00481,339.1,0.54,0.42,2020-01-05,0336,N,nominal,1.0NRT,285,27.1,D
-41.70888,148.01749,353,0.54,0.42,2020-01-05,0336,N,nominal,1.0NRT,282.8,82.8,D
-41.71018,148.0042,344.7,0.54,0.42,2020-01-05,0336,N,nominal,1.0NRT,291.5,27.1,D
-41.72134,148.02528,334.9,0.54,0.42,2020-01-05,0336,N,nominal,1.0NRT,277.3,6.1,D
-41.71347,148.02399,330.2,0.54,0.42,2020-01-05,0336,N,nominal,1.0NRT,277.2,8.1,D
-41.71416,148.0173,337.5,0.54,0.42,2020-01-05,0336,N,nominal,1.0NRT,277.4,8.1,D
-41.71485,148.01065,356.4,0.54,0.42,2020-01-05,0336,N,nominal,1.0NRT,289.3,26,D
-41.71022,148.01666,353.6,0.54,0.42,2020-01-05,0336,N,nominal,1.0NRT,293.3,75,D
-41.7116,148.00334,339,0.54,0.42,2020-01-05,0336,N,nominal,1.0NRT,292.7,65.5,D
-41.70766,148.00275,337.5,0.54,0.42,2020-01-05,0336,N,nominal,1.0NRT,279.3,65.5,D
-41.70371,148.00214,347.8,0.54,0.42,2020-01-05,0336,N,nominal,1.0NRT,283.3,18.2,D
-41.69976,148.00157,337.7,0.54,0.42,2020-01-05,0336,N,nominal,1.0NRT,272.4,18.2,D
-15.36772,141.58345,334.5,0.38,0.44,2020-01-05,0348,N,low,1.0NRT,305.4,6.3,D
-15.35855,141.62254,335.5,0.38,0.43,2020-01-05,0348,N,nominal,1.0NRT,304.9,10.2,D
-14.75732,143.5063,336.1,0.45,0.39,2020-01-05,0348,N,low,1.0NRT,296.5,8.6,D
-14.75373,143.5058,338,0.45,0.39,2020-01-05,0348,N,nominal,1.0NRT,296.2,8.6,D
-14.75431,143.50159,343.2,0.45,0.39,2020-01-05,0348,N,low,1.0NRT,295.1,8.6,D
-14.75129,143.49687,345.4,0.45,0.39,2020-01-05,0348,N,low,1.0NRT,292.6,8.8,D
-14.74491,143.08464,336.9,0.47,0.4,2020-01-05,0348,N,low,1.0NRT,297,8.1,D
-14.74612,143.07587,337.3,0.47,0.4,2020-01-05,0348,N,low,1.0NRT,297.7,11.4,D
-14.74125,143.08414,347.7,0.47,0.4,2020-01-05,0348,N,low,1.0NRT,299.4,8.1,D
-14.74366,143.06654,341.2,0.47,0.4,2020-01-05,0348,N,low,1.0NRT,296.9,6.5,D
-14.73697,143.08803,343,0.47,0.4,2020-01-05,0348,N,low,1.0NRT,298.8,8.5,D
-14.73878,143.07483,343.1,0.47,0.4,2020-01-05,0348,N,low,1.0NRT,299,9.7,D
-14.73939,143.07045,353.6,0.47,0.4,2020-01-05,0348,N,nominal,1.0NRT,299.8,9.7,D
-14.73999,143.06601,341.9,0.47,0.4,2020-01-05,0348,N,low,1.0NRT,297.2,7.9,D
-14.7381,143.0251,338.8,0.47,0.4,2020-01-05,0348,N,low,1.0NRT,299.7,12.6,D
-14.73871,143.02068,351.3,0.47,0.4,2020-01-05,0348,N,low,1.0NRT,299.7,14.2,D
-14.73931,143.01627,352.4,0.47,0.4,2020-01-05,0348,N,low,1.0NRT,300.5,14.2,D
-14.73991,143.01186,356.6,0.47,0.4,2020-01-05,0348,N,low,1.0NRT,301.2,34.6,D
-14.69777,143.04631,342.3,0.47,0.4,2020-01-05,0348,N,nominal,1.0NRT,299.2,10.2,D
-14.63164,143.09702,342.6,0.47,0.4,2020-01-05,0348,N,nominal,1.0NRT,296.1,5.5,D
-14.62613,143.08279,330.3,0.47,0.4,2020-01-05,0348,N,low,1.0NRT,293,5.6,D
-14.58882,143.05508,332.9,0.47,0.4,2020-01-05,0348,N,low,1.0NRT,297.7,6.6,D
-14.54876,143.08194,348.4,0.47,0.4,2020-01-05,0348,N,nominal,1.0NRT,295.7,9.9,D
-14.5451,143.08148,337.4,0.47,0.4,2020-01-05,0348,N,low,1.0NRT,297.3,7.4,D
-15.72073,132.22002,335.9,0.79,0.78,2020-01-05,0348,N,nominal,1.0NRT,287.8,9.5,D
-15.13896,135.23897,331,0.49,0.65,2020-01-05,0348,N,nominal,1.0NRT,292,3.1,D
